view,mercado,conditionId,slot_utc,notional_usd,n_trades
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-01 00:00,20.638600,2
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-01 12:00,61.509999,4
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-02 00:00,1.150000,1
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-02 12:00,47.070395,3
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-03 00:00,101.444296,8
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-03 12:00,19.434500,3
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-04 00:00,480.809597,5
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-04 12:00,2275.478082,14
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-05 00:00,269.599580,15
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-05 12:00,2080.424376,50
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-06 00:00,472.871600,4
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-06 12:00,510.910383,28
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-07 00:00,66.554400,3
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-02-07 12:00,404.316391,11
